aaaa;2018-03-03;21:27:28;EUR;1234.000;1.231;USD;1519.301
aaaa;2018-03-03;21:27:35;EUR;130.000;1.231;USD;160.056
aaaa;2018-03-03;21:27:52;EUR;22.000;1.231;USD;27.086
aaaa;2018-03-03;21:50:41;EUR;1234.000;1.231;USD;1519.301
aaaa;2018-03-03;21:52:59;EUR;1022.000;1.231;USD;1258.286
aaaa;2018-03-03;22:07:19;USD;20.000;0.812;EUR;16.244
aaaa;2018-03-03;22:11:15;USD;10.000;0.812;EUR;8.122
aaaa;2018-03-03;22:21:45;EUR;100.000;1.231;USD;123.120
aaaa;2018-03-03;22:23:32;USD;1371.000;0.812;EUR;1113.554
aaaa;2018-03-03;23:46:17;EUR;5.000;1.231;USD;6.156
aaaa;2018-03-04;20:16:05;USD;9.538;0.812;EUR;7.747
aaaa2;2018-03-04;20:16:12;EUR;0.000;1.231;USD;0.000
aaaa;2018-03-05;00:08:16;USD;0.000;0.812;EUR;0.000
aaaa2;2018-03-05;00:08:25;EUR;0.000;1.231;USD;0.000
aaaa;2018-03-05;13:52:48;EUR;11.756;1.231;USD;14.474
aaaa2;2018-03-05;13:53:05;USD;0.000;0.812;EUR;0.000
aaaa2;2018-03-05;13:53:33;USD;0.000;0.812;EUR;0.000
aaaa;2018-03-05;13:57:50;EUR;0.000;1.231;USD;0.000
aaaa2;2018-03-05;13:58:03;USD;7.688;0.812;EUR;6.244
aaaa;2018-03-05;14:15:33;EUR;0.000;1.231;USD;0.000
aaaa;2018-03-05;14:15:55;EUR;0.000;1.231;USD;0.000
aaaa2;2018-03-05;14:30:58;USD;0.000;0.812;EUR;0.000
aaaa2;2018-03-05;14:31:09;USD;69.371;0.812;EUR;56.344
aaaa;2018-03-05;14:55:56;USD;100.000;0.812;EUR;81.222
aaaa;2018-03-05;14:55:56;USD;100.000;0.812;EUR;81.222
aaaa;2018-03-05;15:03:30;EUR;100.000;1.231;USD;123.120
